"Admission to movies, theaters, and concerts",1997,100.0
"Admission to movies, theaters, and concerts",1998,102.007692308
"Admission to movies, theaters, and concerts",1999,107.352
"Admission to movies, theaters, and concerts",2000,114.28
"Admission to movies, theaters, and concerts",2001,118.508
"Admission to movies, theaters, and concerts",2002,122.28
"Admission to movies, theaters, and concerts",2003,128.58
"Admission to movies, theaters, and concerts",2004,132.708
"Admission to movies, theaters, and concerts",2005,136.992
"Admission to movies, theaters, and concerts",2006,141.816
"Admission to movies, theaters, and concerts",2007,147.39184
"Admission to movies, theaters, and concerts",2008,150.75516
"Admission to movies, theaters, and concerts",2009,153.06176
"Admission to movies, theaters, and concerts",2010,155.41684
"Admission to movies, theaters, and concerts",2011,156.94424
"Admission to movies, theaters, and concerts",2012,160.06292
"All items less food, shelter, and energy",1997,166.404
"All items less food, shelter, and energy",1998,169.176
"All items less food, shelter, and energy",1999,171.896
"All items less food, shelter, and energy",2000,175.188
"All items less food, shelter, and energy",2001,178.684
"All items less food, shelter, and energy",2002,181.124
"All items less food, shelter, and energy",2003,182.588
"All items less food, shelter, and energy",2004,184.62
"All items less food, shelter, and energy",2005,188.096
"All items less food, shelter, and energy",2006,191.584
"All items less food, shelter, and energy",2007,194.20504
"All items less food, shelter, and energy",2008,198.35104
"All items less food, shelter, and energy",2009,202.62604
"All items less food, shelter, and energy",2010,206.56544
"All items less food, shelter, and energy",2011,210.5024
"All items less food, shelter, and energy",2012,214.86832
"All items less food, shelter, energy, and used cars and trucks",1997,167.648
"All items less food, shelter, energy, and used cars and trucks",1998,170.504
"All items less food, shelter, energy, and used cars and trucks",1999,173.304
"All items less food, shelter, energy, and used cars and trucks",2000,176.572
"All items less food, shelter, energy, and used cars and trucks",2001,180.096
"All items less food, shelter, energy, and used cars and trucks",2002,183.032
"All items less food, shelter, energy, and used cars and trucks",2003,185.088
"All items less food, shelter, energy, and used cars and trucks",2004,187.78
"All items less food, shelter, energy, and used cars and trucks",2005,191.068
"All items less food, shelter, energy, and used cars and trucks",2006,194.728
"All items less food, shelter, energy, and used cars and trucks",2007,197.75136
"All items less food, shelter, energy, and used cars and trucks",2008,202.26132
"All items less food, shelter, energy, and used cars and trucks",2009,207.2254
"All items less food, shelter, energy, and used cars and trucks",2010,210.37488
"All items less food, shelter, energy, and used cars and trucks",2011,214.16268
"All items less food, shelter, energy, and used cars and trucks",2012,218.72976
"Audio discs, tapes and other media",1997,100.0
"Audio discs, tapes and other media",1998,99.7615384615
"Audio discs, tapes and other media",1999,101.253846154
"Audio discs, tapes and other media",2000,102.130769231
"Audio discs, tapes and other media",2001,106.6
"Audio discs, tapes and other media",2002,105.653846154
"Audio discs, tapes and other media",2003,108.3
"Audio discs, tapes and other media",2004,108.661538462
"Audio discs, tapes and other media",2005,109.723076923
"Audio discs, tapes and other media",2006,107.6
"Audio discs, tapes and other media",2007,105.475153846
"Audio discs, tapes and other media",2008,103.502
"Audio discs, tapes and other media",2009,98.8853846154
"Audio discs, tapes and other media",2010,94.1282307692
"Audio discs, tapes and other media",2011,91.7275384615
"Audio discs, tapes and other media",2012,88.8179230769
"Bacon, breakfast sausage, and related products",1997,100.0
"Bacon, breakfast sausage, and related products",1998,96.58
"Bacon, breakfast sausage, and related products",1999,96.332
"Bacon, breakfast sausage, and related products",2000,108.152
"Bacon, breakfast sausage, and related products",2001,112.04
"Bacon, breakfast sausage, and related products",2002,112.896
"Bacon, breakfast sausage, and related products",2003,116.088
"Bacon, breakfast sausage, and related products",2004,123.052
"Bacon, breakfast sausage, and related products",2005,122.712
"Bacon, breakfast sausage, and related products",2006,123.076
"Bacon, breakfast sausage, and related products",2007,127.42968
"Bacon, breakfast sausage, and related products",2008,128.03448
"Bacon, breakfast sausage, and related products",2009,127.69812
"Bacon, breakfast sausage, and related products",2010,133.48384
"Bacon, breakfast sausage, and related products",2011,147.10884
"Bacon, breakfast sausage, and related products",2012,148.15408
"Beer, ale, and other malt beverages at home",1997,148.156
"Beer, ale, and other malt beverages at home",1998,148.456
"Beer, ale, and other malt beverages at home",1999,151.916
"Beer, ale, and other malt beverages at home",2000,156.832
"Beer, ale, and other malt beverages at home",2001,160.728
"Beer, ale, and other malt beverages at home",2002,164.716
"Beer, ale, and other malt beverages at home",2003,168.508
"Beer, ale, and other malt beverages at home",2004,174.632
"Beer, ale, and other malt beverages at home",2005,176.36
"Beer, ale, and other malt beverages at home",2006,178.124
"Beer, ale, and other malt beverages at home",2007,184.12244
"Beer, ale, and other malt beverages at home",2008,190.31332
"Beer, ale, and other malt beverages at home",2009,197.4404
"Beer, ale, and other malt beverages at home",2010,200.99324
"Beer, ale, and other malt beverages at home",2011,203.8738
"Beer, ale, and other malt beverages at home",2012,207.57636
"Beer, ale, and other malt beverages away from home",1997,100.0
"Beer, ale, and other malt beverages away from home",1998,100.892307692
"Beer, ale, and other malt beverages away from home",1999,103.884615385
